Tienda,Periodo,Área,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,CAPO,CAPE,ProdUnid
Z001 Back Office Plaza Vea,202605,ELECTRO,,,,0,,,,,
Z001 Back Office Plaza Vea,202605,FRESCOS,,,,0,,,,,
Z001 Back Office Plaza Vea,202605,INVENTARIOS,,,,0,,,,,
Z001 Back Office Plaza Vea,202605,MULTIFUNCIONAL,,,,0,,,,,
Z001 Back Office Plaza Vea,202605,RECEPCIÓN,,,,0,,,,,
Z001 Back Office Plaza Vea,202605,SIN ELECTRO,,,,0,,,,,
Z002 Back Office Vivanda,202605,,,,,0,,,,,
Z002 Back Office Vivanda,202605,ABARROTES,,,,0,,,,,
Z002 Back Office Vivanda,202605,ALMACÉN,,,,0,,,,,
Z002 Back Office Vivanda,202605,ALMACÉN FRESCOS,,,,0,,,,,
Z002 Back Office Vivanda,202605,CAJAS,,,,0,,,,,
Z002 Back Office Vivanda,202605,ELECTRO,,,,0,,,,,
Z002 Back Office Vivanda,202605,FRESCOS,,,,0,,,,,
Z002 Back Office Vivanda,202605,INVENTARIOS,,,,0,,,,,
Z002 Back Office Vivanda,202605,MULTIFUNCIONAL,,,,0,,,,,
Z002 Back Office Vivanda,202605,RECEPCIÓN,,,,0,,,,,
Z002 Back Office Vivanda,202605,SIN ELECTRO,,,,0,,,,,
Z003 Retail Media - Pv,202605,,,,,0,,,,,
Z003 Retail Media - Pv,202605,ABARROTES,,,,0,,,,,
Z003 Retail Media - Pv,202605,ALMACÉN,,,,0,,,,,
Z003 Retail Media - Pv,202605,ALMACÉN FRESCOS,,,,0,,,,,
Z003 Retail Media - Pv,202605,CAJAS,,,,0,,,,,
Z003 Retail Media - Pv,202605,ELECTRO,,,,0,,,,,
Z003 Retail Media - Pv,202605,FRESCOS,,,,0,,,,,
Z003 Retail Media - Pv,202605,INVENTARIOS,,,,0,,,,,
Z003 Retail Media - Pv,202605,MULTIFUNCIONAL,,,,0,,,,,
Z003 Retail Media - Pv,202605,RECEPCIÓN,,,,0,,,,,
Z003 Retail Media - Pv,202605,SIN ELECTRO,,,,0,,,,,
